album,title,artists,composers,time,date
Everyone Was A Bird,Radar,Grasscut,"Marcus O'dair, Andrew Phillips",11:06pm,2017-02-13
You're The One That I Want (Single),You're The One That I Want,Fang Lo,"Louis St. Louis, John Farrar, Barry Gibb, Scott Simon",11:16pm,2017-02-13
Ritual Spirit E.P.,Ritual Spirit,Massive Attack,"Robert Del Naja,Azekel, Euan Dickinson",11:20pm,2017-02-13
Words I Don't Remember (Single),Words I Don't Remember,How To Dress Well,How To Dress Well,11:23pm,2017-02-13
Leave Me (Single),Leave Me,Handler,"Joshua Van Tassel, Megan Bonnell",11:30pm,2017-02-13
The Air Conditioned Nightmare,Video Hostage,Doldrums,Airick Woodhead,11:34pm,2017-02-13
Quiet Energies,Connect The Lines,Evening Hymns,Jonas Bonnetta,11:40pm,2017-02-13
Mirror Maze,Mirror Maze,Merganzer,Mika Posen,11:45pm,2017-02-13
Karkwa: Les Chemins De Verre,L'acouphene,Karkwa,,11:50pm,2017-02-13
Winter Song (Single),Winter Song,Genevieve Artadi,Genevieve Artadi,11:54pm,2017-02-13
Crouched Head,Old Time A Runnin',Crouched Head,Josh Zubot,11:56pm,2017-02-13
Remember Us To Life,Bleeding Heart,Regina Spektor,Regina Spektor,10:04pm,2017-02-14
Has Been,Together,William Shatner,"William Shatner, Elizabeth Shatner,Lemon Jelly",10:08pm,2017-02-14
Little Love Songs (Familiar Wild Rexmix) (Single),Little Love Songs,Jodi Doidge,Jodi Doidge,10:17pm,2017-02-14
For Evelyn,Don't Go,Hannah Georgas,"Hannah Georgas, Ryan Guldemond",10:24pm,2017-02-14
Emiliana Torrini & The Colorist Orchestra,When We Dance,The Colorist & Emiliana Torrini,"Emiliana Torrini, Kobe Proesmans, Aarich Jespers",10:29pm,2017-02-14
Opium,I Love Him So,Jay Johanson Jay,Jay  Jay Johanson,10:32pm,2017-02-14
Small & Perfect (Single),Small & Perfect,Isis Giraldo,Isis Giraldo,10:37pm,2017-02-14
Love Songs For Robots,Hearts,Patrick Watson,"Patrick Watson, Mishka Stein, Robbie Kuster, Joe Grass",10:39pm,2017-02-14
Sparks,You Know Where To Find Me,Imogen Heap,Imogen Heap,10:45pm,2017-02-14
Companion Ep,Companion,Braids,"Raphaelle Preston Standell, Austin Tufts, Taylor Smith",10:50pm,2017-02-14
Come With Me,Candyman,Peder,"Peder, Tue Track, Rasmus Olsen",10:54pm,2017-02-14
A Good Reason To Grow Old (Single),A Good Reason To Grow Old,Owl John,Owl John,11:01pm,2017-02-14
The Bride,Sunday Love,Bat For Lashes,Natasha Khan,11:05pm,2017-02-14
Sun Leads Me On,Turn Your Love,Half Moon Run,"Devon Portielje, Isaac Symonds, Conner Molander, Dylan Phillips",11:10pm,2017-02-14
Above Club,Take Your Picture With Me While You Still Can,We Are The City,"Andrew Huculiak, Cayne Mckenzie, David Menzel",11:13pm,2017-02-14
Phase,The Love You're Given (Radio Edit),Jack Garratt,"Lisa Fisher, Jack Garratt, Tom Hammer",11:18pm,2017-02-14
Enough Thunder,Case Of You,James Blake,Joni Mitchell,11:21pm,2017-02-14
Recreational Love,Please Take Me Home,The Bird And The Bee,"Inara George, Greg Kurstin",11:25pm,2017-02-14
Bitte Orca,Two Doves,Dirty Projectors,David Longstreth,11:28pm,2017-02-14
Pull My Hair Back,Strange Emotion,Jessy Lanza,"Jessy Lanza, Jeremy Greenspan",11:32pm,2017-02-14
How To Be Alone (Single),How To Be Alone,Tanya Davis,Tanya Davis,11:37pm,2017-02-14
Sometimes There's Wine (Single),Sometimes There's Wine,The Barr Brothers,Brad Barr,11:41pm,2017-02-14
Vulnicura,Lionsong,"Bjork, Arca",Bjork,11:46pm,2017-02-14
Javelin,We Got Married,Jordan Klassen,Jordan Klassen,11:52pm,2017-02-14
Saxsyndrum:Fairground: Future Circus Remixed,Heartstrings,Saxsyndrum,"Nick Schofield, David Switchenko",11:56pm,2017-02-14
More Colors (Single),More Colors,"Kidswaste, Chelsea Cutler","Chelsea Cutler,Kidswaste",10:03pm,2017-02-15
"22, A Million",8(Circle),Bon Iver,"Michael Lewis, Ryan Olson, Bj Burton, Justin Vernon",10:08pm,2017-02-15
I Go Missing In My Sleep,Garden,Wilsen,Wilsen,10:14pm,2017-02-15
Sonderlust,"Can't Let Go, Juno",Kishi Bashi,Kishi Bashi,10:17pm,2017-02-15
Instinct (Single),Instinct,These Brittle Bones,These Brittle Bones,10:23pm,2017-02-15
Horizontal Lines,Tunnel To The Reservoir,Twin Within,"Alex Samaras, Steve Mckay",10:27pm,2017-02-15
Young,Hold Me Close,Overcoats,"Jj Mitchell, Hana Elion",10:32pm,2017-02-15
Something Got Lost Between Here And The Orbit,Walk Out On The Water,Royal Canoe,"Derek Allard, Brendan Berg, Matthew Peters, Michael Jordan, Matthew Schellenberg, Bucky Driedger",10:35pm,2017-02-15
Darling Of The Afterglow,The Road,Lydia Ainsworth,Lydia Ainsworth,10:39pm,2017-02-15
Absolutely Free,Striped Light,Absolutely Free,"Matt King, Michael Claxton, Moshe Rozenberg",10:42pm,2017-02-15
Pandaleon: Atone,Amiante,Pandaleon,Pandaleon,10:48pm,2017-02-15
Cascades (Single),Cascades,Metric,"Jimmy Shaw, Emily Haines",10:53pm,2017-02-15
Underwaterfall (Single),Underwaterfall,Bearcubs,Bearcubs,10:59pm,2017-02-15
Going Places,I Have Sound,Montag,Antoine Bedard,11:03pm,2017-02-15
Up In Hudson (Single),Up In Hudson,Dirty Projectors,"Mccoll Ewan, David Ginyard, Tyondai Braxton, David Longstreth",11:08pm,2017-02-15
The Gaits (Single),The Gaits (Feat. Sin Fang),Zoon Van Snook,"Zoon Van Snook, Sindri Mar Sigfusson",11:16pm,2017-02-15
Tookah,Tookah,Emiliana Torrini,Emiliana Torrini,11:20pm,2017-02-15
"Performing Parades, Live",Polygyne,"Efterklang, Danish National Chamber Orchestra","Mads Brauer, Rasmus Stolberg, Rune Fonseca Molgaard, Casper Clausen, Thomas Kirirath Husmer",11:23pm,2017-02-15
Holy (Single),Holy,"Ryan Hemsworth, Ryan Playground, Swim Good Now","Ryan Hemsworth,Swim Good Now,Ryan Playground",11:32pm,2017-02-15
When The Time Is Right,Waves,River Tiber,"Kwikfiks,River Tiber",11:35pm,2017-02-15
Psychic Materials,The Otherside Of Concrete,Casey Mecija,Casey Mecija,11:41pm,2017-02-15
Excerpts,Things I Forget,Ensemble,"Olivier Alary, Darcy Conroy, Johannes Malfatti",11:46pm,2017-02-15
Modern Mind (Single),Modern Mind,Bry Webb,Bry Webb,11:51pm,2017-02-15
Isador,2,Isador,"Charles Austin, Joshua Van Tassel, Kyle Cunjak",11:56pm,2017-02-15
Like What Ep,Too Long,Tennyson,Luke Tennyson,10:04pm,2017-02-16
Wonder (Single),Wonder,Gungor,"Lisa Gungor, Michael Gungor",10:07pm,2017-02-16
This Is My Hand,Lover Killer,My Brightest Diamond,Shara Worden,10:12pm,2017-02-16
Rennen,Signal,Sohn,Sohn,10:16pm,2017-02-16
The Xx: I See You,Dangerous,The Xx,"Oliver Sim, Romy Madley Croft, Jamie Smith",10:21pm,2017-02-16
Other Rivers,Another Way,Matthew And The Atlas,Matthew Hegarty,10:25pm,2017-02-16
Don't Wanna Be European (Single),Don't Wanna Be European,Bernice,Robin Dann,10:29pm,2017-02-16
Northern Arm (Single),Northern Arm,Evening Hymns,Jonas Bonnetta,10:33pm,2017-02-16
Cities Of Glass,Cities Of Glass,"Efterklang,  The Happy Hopeless Orchestra","Mads Brauer, Rasmus Stolberg, Casper Clausen",10:39pm,2017-02-16
Upsweep,Story (Amelia),Hannah Epperson,"Ajay Bhattacharyya, Hannah Epperson",10:45pm,2017-02-16
Colours,The Fan,"Devon Sproule, Mike O'neill","Mike O'neill, Devon Sproule",10:50pm,2017-02-16
A Heart Beats Through It (Single),A Heart Beats Through It,Our Founders,Michael Olsen,10:54pm,2017-02-16
Why Is It (Single),Why Is It,"Mome, Merryn Jeann","Merryn Jeann,Mome",11:00pm,2017-02-16
Better Than Me (Single),Better Than Me,Blood Orange,Blood Orange,11:03pm,2017-02-16
Cdw,After All,Charlotte Day Wilson,Charlotte Day Wilson,11:06pm,2017-02-16
Tomorrow's Modern Boxes,Guess Again!,Thom Yorke,Thom Yorke,11:11pm,2017-02-16
"Sincerely, Future Pollution",Sewer Blues,Timber Timbre,Taylor Kirk,11:15pm,2017-02-16
Yann Perreau: Le Fantastique Des Astres,Faut Pas Se Fier Aux Apparences,"Yann Perreau, Pierre Kwenders, Ines Talbi","Tante Blanche, Yann Perreau, Pierre Kwenders",11:20pm,2017-02-16
Remain (Single),Remain,Mutemath,"Paul Meany, Todd Gummerman, Darren King, Roy Cardenas Mitchell",11:25pm,2017-02-16
Aquilo Ep,Part Of Your Life,Aquilo,"Ben Fletcher, Tom Higham",11:31pm,2017-02-16
Paradise (Single),Paradise,Emily Millard,Emily Millard,11:35pm,2017-02-16
Kintsugi,Ingenue,Death Cab For Cutie,"Christopher Walla, Jason Mcgerr, Ben Gibbard, Nicholas Harmer",11:40pm,2017-02-16
It's Decided,Who Came First,Andy Kim,"Dave Hamelin, Ohad Benchetrit, Andy Kim, Kevin Drew",11:45pm,2017-02-16
After The Glow (Single),After The Glow,Jesse Mac Cormack,Jesse Mac Cormack,11:51pm,2017-02-16
A Torrid Marriage Of Logic And Emotion,Underneath,Programm,"Jackie Game, Andrew Reesor, Mark Game, Jacob Soma",11:55pm,2017-02-16
No Peace (Single),No Peace,Syd Arthur,"Raven Bush, Josh Magill, Liam Magill, Joel Magill",10:03pm,2017-02-17
No No No,Gibraltar,Beirut,Zach Condon,10:08pm,2017-02-17
Migrations,Migrations,Tend&See,"Faye Mallett, Melissa Bandura",10:12pm,2017-02-17
Everyone Move With Ease (Single),Everyone Move With Ease,Nick Pope,Nick Pope,10:15pm,2017-02-17
Soulseeker (Single),Soulseeker,Soren Juul,Soren Juul,10:21pm,2017-02-17
Everything (Single),Everything,Chantal Acda,Chantal Acda,10:27pm,2017-02-17
Geoffroy: Sleeping On My Own,Sleeping On My Own,Geoffroy,"Geoffroy Sauve,Antoine  Max Gendron",10:31pm,2017-02-17
Another Eternity,Stillness In Woe,Purity Ring,"Corin Roddick, Megan James",10:35pm,2017-02-17
Common Deer I,Damages,Common Deer,"Liam Farrell, Sheila Hart, Connor Farrell, Graham Mclaughlin, Adam Hart",10:40pm,2017-02-17
Foreign Life,Little Life,Pony Girl,"Pascal Huot, Julien Dussault, Michel Cousineau, Jeff Kingsbury, Greggory Clark, Yolande Laroche",10:44pm,2017-02-17
The Arp (Radio Edit) (Single),The Arp,Aidan Knight,Aidan Knight,10:48pm,2017-02-17
Epilogue,300 Jours,L'estrade,"Sebastian Michon, Mikael Rondeau, Olivier Guertin, Vincent Yelle, Emile Poulin",10:51pm,2017-02-17
Go On,Lawless,Paper Beat Scissors,Tim Crabtree,10:57pm,2017-02-17
Foam Island,Foam Island,Darkstar,"Aiden Whalley, James Young",11:01pm,2017-02-17
Lost (Single),Lost,Liza Anne,Liza Anne,11:06pm,2017-02-17
Florence (Single),Florence,"Loyle Carner, Kwes","Loyle Carner,Kwes",11:10pm,2017-02-17
Only (Single),Only,Boots,Boots,11:13pm,2017-02-17
Beck: Morning Phase,Waking Light,Beck,Beck,11:17pm,2017-02-17
Taking Flight Ep,Angel,Ryan Hemsworth,"Ryan Hemsworth,Lucas",11:23pm,2017-02-17
Late Night Tales: Jon Hopkins,Connjur,"Jon Hopkins, School Of Seven Bells","Alejandra Deheza, Claudia Deheza, Benjamin Curtis",11:26pm,2017-02-17
Iii,Only Breathing,Del Bel,"Tyler Belluz, Lisa Conway",11:31pm,2017-02-17
Quiet Energies,Connect The Lines,Evening Hymns,Jonas Bonnetta,11:38pm,2017-02-17
Small Town Water Tower,Lucid Love,John Southworth,John Southworth,11:43pm,2017-02-17
Trauma,Great Escape,Coeur De Pirate,Patrick Watson,11:46pm,2017-02-17
Soft Hate,Sarah,Memoryhouse,"Evan Abeele, Denise Nouvion",11:50pm,2017-02-17
The Runcible,Less Talk More Magic,Dirty Inputs,Dirty Inputs,11:54pm,2017-02-17
Young,Hold Me Close,Overcoats,"Jj Mitchell, Hana Elion",12:30am,2017-02-17
I Believe In Little Things,The Rainbow Connection,Diana Panton,"Paul Williams, Kenny Ascher",10:00pm,2017-02-18
Taylor Eigsti: Lucky To Be Me,Love For Sale,Taylor Eigsti,"Cole Porter, Herbie Fields",10:04pm,2017-02-18
Nat King Cole: After Midnight,"Just You, Just Me",Nat King Cole,"Jesse Greer, Raymond Klages",10:08pm,2017-02-18
Complete Gerry Mulligan Meets Ben Webster Sessions,Who's Got Rhythm?,"Gerry Mulligan, Ben Webster",Gerry Mulligan,10:11pm,2017-02-18
Jump To It,Night Train,Dave Babcock And His Jump Orchestra,"Oscar Washington, Lewis Simpkins, Jimmy Forrest",10:19pm,2017-02-18
Trombone And Other Delights,The Shadow Of My Shadow,"Audrey Ochoa, Jim Head",Audrey Ochoa,10:23pm,2017-02-18
Intimate Conversations,Come Try My Love,Dee Daniels,Dee Daniels,10:28pm,2017-02-18
Alone Together,My Foolish Heart,Don Vickery,"Victor Young, Ned Washington",10:32pm,2017-02-18
Horace Silver: Song For My Father,Song For My Father,Horace Silver,Horace Silver,10:38pm,2017-02-18
George Shearing At Home,That Old Devil Called Love,"George Shearing, Don Thompson","Allan Roberts, Doris Fisher",10:45pm,2017-02-18
Many A New Day,Bali Ha'i,Karrin Allyson,"Joshua Logan, Richard Rodgers, Ii  Oscar Hammerstein",10:49pm,2017-02-18
Resonance,Poinciana,Reg Schwager,"Nat Simon, Manuel Lliso, Buddy Bernier",10:54pm,2017-02-18
Fjord: Textures   Ep,Blue,Fjord,Fjord,11:03pm,2017-02-18
Late Night Tales,Goda Tungl,Samaris,"Thordur Steinthorsson, Jofridur Akadottir",11:07pm,2017-02-18
Blood Ballet,Symmetry,Maggie Rogers,Maggie Rogers,11:11pm,2017-02-18
Day Of The Dead,Stella Blue,Local Natives,"Robert Hunter, Jerry Garcia",11:14pm,2017-02-18
Clean Ep,Clean,The Japanese House,The Japanese House,11:20pm,2017-02-18
Turn Into The Noise (Single),Turn Into The Noise,Patrick Watson,Patrick Watson,11:25pm,2017-02-18
The Ridge,We've Got A Lot,Sarah Neufeld,Sarah Neufeld,11:32pm,2017-02-18
J'orage,J'orage,Ponteix,Mario Lepage,11:36pm,2017-02-18
Brasstronaut,Sooner Or Later,Brasstronaut,"John Walsh, Brennan Saul, Edo Van Breemen, Bryan Davies, Sam Davidson, Tariq Hussain",11:42pm,2017-02-18
Pressure (Single),Pressure,Milk And Bone,"Laurence Beaulne Lafond, Camille Poliquin",11:46pm,2017-02-18
Larch,Naked Trees,Larch,"Zander Sherman, Rory Stevens Jordan",11:50pm,2017-02-18
Strip,Thorns & Spades,Dear Criminals,"Frannie Holder, Charles Lavoie, Vincent Legault",11:54pm,2017-02-18
Two Wildly Different Perspectives (Single),Two Wildly Different Perspectives,Father John Misty,Father John Misty,11:58pm,2017-02-18
For Evelyn,Waste,Hannah Georgas,Hannah Georgas,10:00pm,2017-02-20
Horizontal Lines,Tunnel To The Reservoir,Twin Within,"Alex Samaras, Steve Mckay",10:04pm,2017-02-20
We Loved Her Dearly,Palm Trees,Lowell,"Lowell, James Bryan",10:07pm,2017-02-20
"22, A Million",8(Circle),Bon Iver,"Michael Lewis, Ryan Olson, Bj Burton, Justin Vernon",10:13pm,2017-02-20
Born In The Echoes,Wide Open,"The Chemical Brothers, Beck","Tom Rowlands,Beck, Ed Simons",10:18pm,2017-02-20
Surrender (Single),Surrender,Briana Marela,Briana Marela,10:25pm,2017-02-20
Taking Flight Ep,Angel,Ryan Hemsworth,"Ryan Hemsworth,Lucas",10:29pm,2017-02-20
Break Apart (Single),Break Apart,"Bonobo, Rhye","Rhye,Bonobo",10:33pm,2017-02-20
James Blake,Limit To Your Love,James Blake,James Blake,10:37pm,2017-02-20
The Dreaming Room,Let Me Fall,Laura Mvula,Steve Brown,10:43pm,2017-02-20
Arc,Choice Mountain,Everything Everything,"Jonathan Higgs, Alex Robertshaw, Michael Spearman, Jeremy Pritchard",10:47pm,2017-02-20
Multi-Love (Single),Multi-Love,Unknown Mortal Orchestra,Ruban Nielson,10:51pm,2017-02-20
Hey Love,Five Seasons,Hayden,Hayden,10:56pm,2017-02-20
#88 (Single),#88,Fang Lo,Fang Lo,11:00pm,2017-02-20
People Say (Single),People Say,Seramic,Seramic,11:07pm,2017-02-20
Foreign Life,Little Life,Pony Girl,"Pascal Huot, Julien Dussault, Michel Cousineau, Jeff Kingsbury, Greggory Clark, Yolande Laroche",11:11pm,2017-02-20
Outside,Strange Form Of Life,Cfcf,Cfcf,11:15pm,2017-02-20
The Night (Single),The Night,Will Driving West,Daniel Ratte,11:22pm,2017-02-20
The Take Off And Landing Of Everything,My Sad Captains,Elbow,"Guy Garvey, Richard Jupp, Mark Potter, Pete Turner, Craig Potter",11:26pm,2017-02-20
Lonely Ghost,Silica,Artisan Loyalist,Artisan Loyalist,11:32pm,2017-02-20
Tales Of A Grass Widow,Tears For Animals,Cocorosie,"Bianca Casady, Sierra Casady",11:38pm,2017-02-20
Deep In The Iris,Taste,Braids,"Raphaelle Preston Standell, Taylor Smith, Austin Tufts",11:43pm,2017-02-20
Strip,Slowdisco,Dear Criminals,"Frannie Holder, Charles Lavoie, Vincent Legault",11:48pm,2017-02-20
Andy Milne & Gregoire Maret: Scenarios,Moon River,"Gretchen Parlato, Andy Milne, Gregoire Maret","Henry Mancini, Johnny Mercer",11:54pm,2017-02-20
Music To Draw To: Satellite,Transmission 3,Kid Koala,Kid Koala,11:57pm,2017-02-20
Everyone Was A Bird,Radar,Grasscut,"Marcus O'dair, Andrew Phillips",10:08pm,2017-02-21
Young,Hold Me Close,Overcoats,"Jj Mitchell, Hana Elion",10:13pm,2017-02-21
This Is All Yours,"Bloodflood, Pt. Ii",J Alt,"Joe Newman, Thom Green, Gus Hamilton Unger",10:16pm,2017-02-21
The Road To Nowhere (Single),The Road To Nowhere,Radical Face,Ben Cooper,10:22pm,2017-02-21
Hologramme: Hologramme,Upright,Hologramme,"Clement Leduc,Hologramme",10:27pm,2017-02-21
Don't Wanna Be European (Single),Don't Wanna Be European,Bernice,Robin Dann,10:32pm,2017-02-21
Armour,Trying Again At Everything,Rae Spoon,Rae Spoon,10:36pm,2017-02-21
Black Messiah,Really Love,D'angelo,"Kendra Foster,D'angelo",10:40pm,2017-02-21
Soaked In Gold Ep,Soaked In Gold,Geoffroy,Geoffroy,10:46pm,2017-02-21
Small & Perfect (Single),Small & Perfect,Isis Giraldo,Isis Giraldo,10:50pm,2017-02-21
Le Dernier Empereur Bantou,Mami Wata,Pierre Kwenders,Pierre Kwenders,10:52pm,2017-02-21
Club Meds,Pretty Good Joke,Dan Mangan + Blacksmith,Dan Mangan,10:58pm,2017-02-21
Higher (Single),Higher,Alejandra Ribera,Alejandra Ribera,11:03pm,2017-02-21
Fruit Trees (Single),Fruit Trees,Matthew E. White,Matthew E. White,11:07pm,2017-02-21
Ask Me This,Reconstruct My Love,Alcoholic Faith Mission,"Thorben Jensen, Sune Solund, Morten Hyldahl, Anders Hjort, Gustav Rasmussen, Kristine Permild",11:13pm,2017-02-21
Psychic Materials,This War Is More Than Us,Casey Mecija,Casey Mecija,11:16pm,2017-02-21
Johny (Single),Johny,Sofi Tukker,"Sophie Weld Hawley, Tucker Halpern",11:20pm,2017-02-21
Post Tropical,Cavalier,James Vincent Mcmorrow,James Vincent Mcmorrow,11:24pm,2017-02-21
Shaver (Single),Shaver,Porches,Porches,11:29pm,2017-02-21
"A Person Disguised As People: Forest City Series, Vol. 1",Questionable Eyelevel Stars,Dreamsploitation,Chuck Blazevic,11:32pm,2017-02-21
Hypocrite (Single),Hypocrite,"Michel Blais Jean, Cfcf","Michel  Jean Blais,Cfcf",11:37pm,2017-02-21
Hedera,Stewardess,Isaac Vallentin,Isaac Vallentin,11:43pm,2017-02-21
Limoilou,Technicolor,Safia Nolin,Safia Nolin,11:46pm,2017-02-21
"Sincerely, Future Pollution",Sewer Blues,Timber Timbre,Taylor Kirk,11:50pm,2017-02-21
Sketchy Behaviour,Space Walk,Yarranton Adler,"Blair Yarranton, Percy Nils Adler",11:55pm,2017-02-21
Monster,In The Sun,Andrew Judah,Andrew Judah,10:03pm,2017-02-22
Knife In The Water (Single),Knife In The Water,Memoryhouse,"Evan Abeele, Denise Nouvion",10:08pm,2017-02-22
Javelin,We Got Married,Jordan Klassen,Jordan Klassen,10:15pm,2017-02-22
Tremors,Ransom Notes,Sohn,Sohn,10:20pm,2017-02-22
I Couldn't Want You Anyway (Single),I Couldn't Want You Anyway,Jack Garratt,Jack Garratt,10:25pm,2017-02-22
Swim (Single),Swim,Douglas Dare,Douglas Dare,10:30pm,2017-02-22
"22, A Million",8(Circle),Bon Iver,"Michael Lewis, Ryan Olson, Bj Burton, Justin Vernon",10:35pm,2017-02-22
Taste,Pumpkin,Islands,Nick Thorburn,10:40pm,2017-02-22
Epilogue,Dompter Mes Mirages,L'estrade,"Sebastian Michon, Mikael Rondeau, Olivier Guertin, Vincent Yelle, Emile Poulin",10:43pm,2017-02-22
Empire Of Time,We Stared At The World,Find The Others,Andy Sheppard,10:49pm,2017-02-22
Lisbonne Telegramme: Miroir D'automne,Miroirs D'automne,Lisbonne Telegramme,"Maritza, Francois (Can) Dufault, Martin Farmer, Eric Rathe",10:52pm,2017-02-22
Go,Go Do,Jonsi,Jonsi Birgisson,10:58pm,2017-02-22
Parades,Mirador,Efterklang,"Mads Brauer, Rune Fonseca Molgaard, Thomas Kirirath Husmer, Friedrich Leopold Stolberg, Casper Clausen",11:03pm,2017-02-22
"Gentlewoman, Ruby Man",Suzanne,"Flo Morrissey, Matthew E. White","Leonard Cohen, Gilbert Langevin",11:09pm,2017-02-22
In Roses,Braid,Gem Club,"Christopher Barnes, Ieva Berberian, Kristen Drymala",11:13pm,2017-02-22
One Colour More,Papusza And The Crows,Wendy Mcneill,Wendy Mcneill,11:19pm,2017-02-22
Vieux Loup,Rapids,The Acorn,Rolf Klausener,11:24pm,2017-02-22
Future Politics,Beyond A Mortal,Austra,Katie Stelmanis,11:29pm,2017-02-22
Follow Your Stupid Heart (Single),Follow Your Stupid Heart,Blocktreat,Blocktreat,11:35pm,2017-02-22
Love Songs For Robots,Love Songs For Robots,Patrick Watson,Patrick Watson,11:40pm,2017-02-22
Anthropology,Albert Johnson,Paul Bergman,Paul Bergman,11:43pm,2017-02-22
Takes Time,Bring On The Night,Jim Guthrie,Jim Guthrie,11:51pm,2017-02-22
Yann Perreau: Le Fantastique Des Astres,Mon Amour Est Un Loup,Yann Perreau,"Tante Blanche, Yann Perreau",11:54pm,2017-02-22
Lament 4 (Single),Lament 4,The Cyrillic Typewriter,J. Zumpano,11:58pm,2017-02-22
Now That The Light Is Fading,On + Off,Maggie Rogers,"Nicholas Das, Maggie Rogers",10:05pm,2017-02-23
Ritual Spirit E.P.,Ritual Spirit,Massive Attack,"Robert Del Naja,Azekel, Euan Dickinson",10:09pm,2017-02-23
Big Picture (Single),Big Picture,"London Grammar, Jon Hopkins",Hannah Reid,10:14pm,2017-02-23
All Clear (Single),All Clear,Aidan Knight,Aidan Knight,10:17pm,2017-02-23
Verde,Get It,Tei Shi,Tei Shi,10:21pm,2017-02-23
Sun Leads Me On,Turn Your Love,Half Moon Run,"Devon Portielje, Isaac Symonds, Conner Molander, Dylan Phillips",10:24pm,2017-02-23
Past Life,Past Life,Lost In The Trees,"Ari Picker, Emma Nadeau, Drew Anagnost, Jenavieve Varga, Mark Daumen",10:29pm,2017-02-23
Asgeir: In The Silence,Soothe This Pain,Asgeir,"Asgeir Trausti Einarsson, Orvar Thoreyjarson Smarason",10:33pm,2017-02-23
Velvet Gloves & Spit (Single),Velvet Gloves & Spit,Timber Timbre,"Simon Trottier, Taylor Kirk",10:38pm,2017-02-23
The Loodies,Dry,The Loodies,Ludovic Alarie,10:42pm,2017-02-23
This Is My Hand,This Is My Hand,My Brightest Diamond,My Brightest Diamond,10:47pm,2017-02-23
Tropical Oceans (Single),Tropical Oceans,D.D Dumbo,Oliver Hugh Perry,10:51pm,2017-02-23
Ile De Sept Villes,Soixante-Sept,Hylozoists,,10:55pm,2017-02-23
Idols In The Dark Heart,Lungs,Valery Gore,Valery Gore,10:59pm,2017-02-23
Animism,Rabbit,Tanya Tagaq,"Jean Martin, Michael Red, Jesse Zubot, Tanya Tagaq",11:04pm,2017-02-23
Composite,Metropolis,Monogrenade,"Michel  Jean Pigeon, Marianne Houle, Francois Lessard, Mathieu Collette",11:08pm,2017-02-23
Human Voicing,Dream Of Love,The Luyas,"Jessie Stein, Sarah Neufeld, Pietro Amato, Mathieu Charbonneau, Bucky Wheaton",11:12pm,2017-02-23
Carefully Try (Single),Carefully Try,"The Polyphonic Spree, Little People",Tim Delaughter,11:16pm,2017-02-23
Foam Island,Stoke The Fire,Darkstar,"Aiden Whalley, James Young",11:22pm,2017-02-23
The Generation Of Lift,Stockholm,Conner Youngblood,Conner Youngblood,11:26pm,2017-02-23
The Golden Lion Ep,In The Forest,The Besnard Lakes,"Jace Lasek, Olga Goreas, Sheena Ko, Kevin Laing, Robbie Macarthur",11:30pm,2017-02-23
"A Person Disguised As People: Forest City Series, Vol. 2",Artlab 5 (Worldcatcher Remix),Phaneuf Ian Doig,Ian Phaneuf Doig,11:36pm,2017-02-23
Trauma,Slow Show,Coeur De Pirate,"Aaron Dessner, Bryce Dessner, Matt Berninger, Bryan Devendorf, Scott Devendorf",11:39pm,2017-02-23
Pandaleon: Atone,Amiante,Pandaleon,Pandaleon,11:44pm,2017-02-23
Young Hymns,Little Fires,Gala,Aley Waterman,11:49pm,2017-02-23
Sans Solace,It Starts,Dennis Goodwin,Dennis Goodwin,11:54pm,2017-02-23
25,Water Under The Bridge,Adele,"Adele, Greg Kurstin",12:30am,2017-02-23
Magic Summertime (Single),Magic Summertime,Benji Hughes,Eleni Mandell,10:05pm,2017-02-24
Like What Ep,Too Long,Tennyson,Luke Tennyson,10:08pm,2017-02-24
Benjamin Clementine: At Least For Now,Condolence,Benjamin Clementine,Benjamin Clementine,10:13pm,2017-02-24
A Good Reason To Grow Old (Single),A Good Reason To Grow Old,Owl John,Owl John,10:19pm,2017-02-24
The Xx: I See You,Dangerous,The Xx,"Oliver Sim, Romy Madley Croft, Jamie Smith",10:24pm,2017-02-24
Sparks,You Know Where To Find Me,Imogen Heap,Imogen Heap,10:28pm,2017-02-24
Champion Of The Afterworld,Corners,Dan Misha Goldman,Dan Misha Goldman,10:34pm,2017-02-24
Foreign Life,Clarity,Pony Girl,"Pascal Huot, Julien Dussault, Michel Cousineau, Jeff Kingsbury, Greggory Clark, Yolande Laroche",10:37pm,2017-02-24
Darling Of The Afterglow,The Road,Lydia Ainsworth,Lydia Ainsworth,10:43pm,2017-02-24
Absolutely Free,Beneath The Air,Absolutely Free,"Matt King, Moshe Rozenberg, Mike Claxton",10:46pm,2017-02-24
Common Deer I,Damages,Common Deer,"Liam Farrell, Sheila Hart, Connor Farrell, Graham Mclaughlin, Adam Hart",10:51pm,2017-02-24
Catching Echoes (Single),Catching Echoes,King Karoshi,"Alexy Guerer, Remi Denis, Antoine Poliquin, Patrick Dunphy",10:55pm,2017-02-24
So There,So There,Ben Folds,Ben Folds,10:59pm,2017-02-24
Falsework,Must Be Love,Young Galaxy,"Dan Lissvik, Stephen Ramsay, Catherine Mccandless",11:04pm,2017-02-24
Doing The Right Thing (Single),Doing The Right Thing,Daughter,"Elena Tonra, Remi Aguilella, Igor Haefeli",11:09pm,2017-02-24
Fire Editorial (Single),Fire Editorial,The Mountain Goats,"Peter Hughes, Jon Wurster, John Darnielle",11:14pm,2017-02-24
